channel_name,category,Sub-category,Agent Shift,Tenure Bucket
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Return request,Afternoon,>90
Outcall,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Order Related,Invoice request,Afternoon,>90
Email,Returns,Damaged,Morning,31-60
Outcall,Feedback,UnProfessional Behaviour,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Order Related,Delayed,Night,61-90
Email,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Feedback,UnProfessional Behaviour,Morning,31-60
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Feedback,UnProfessional Behaviour,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Order Related,Delayed,Morning,>90
Outcall,Refund Related,Refund Enquiry,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Shopzilla Related,Other Account Related Issues,Evening,>90
Inbound,Refund Related,Refund Related Issues,Morning,31-60
Inbound,Returns,Missing,Afternoon,>90
Inbound,Order Related,Installation/demo,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Returns,Service Centres Related,Evening,61-90
Outcall,Order Related,Invoice request,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Delayed,Evening,>90
Inbound,Product Queries,Product Specific Information,Morning,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Product Queries,Product Specific Information,Evening,0-30
Inbound,Returns,Return request,Evening,0-30
Inbound,Order Related,Delayed,Morning,0-30
Inbound,Payments related,Online Payment Issues,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Shopzilla Related,General Enquiry,Evening,61-90
Inbound,Returns,Return request,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Returns,Return request,Morning,>90
Inbound,Order Related,Invoice request,Evening,On Job Training
Inbound,Refund Related,Refund Related Issues,Morning,31-60
Outcall,Order Related,Order status enquiry,Evening,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Returns,Missing,Afternoon,31-60
Inbound,Returns,Wrong,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Order Related,Order status enquiry,Evening,0-30
Outcall,Order Related,Seller Cancelled Order,Evening,0-30
Inbound,Returns,Return request,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,0-30
Inbound,Order Related,Installation/demo,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,61-90
Inbound,Order Related,Order status enquiry,Morning,>90
Email,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,61-90
Outcall,Returns,Fraudulent User,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Order Related,Delayed,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Payments related,e-Gift Voucher,Morning,>90
Outcall,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Service Centres Related,Morning,>90
Inbound,Cancellation,Not Needed,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Offers & Cashback,Affiliate Offers,Night,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Installation/demo,Evening,On Job Training
Outcall,Returns,Return request,Evening,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Delayed,Evening,31-60
Inbound,Refund Related,Refund Related Issues,Morning,31-60
Inbound,Returns,Wrong,Morning,>90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Inbound,Order Related,Installation/demo,Evening,0-30
Inbound,Order Related,Priority delivery,Split,>90
Inbound,Order Related,Order status enquiry,Morning,>90
Outcall,Returns,Fraudulent User,Evening,On Job Training
Inbound,Returns,Wrong,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Product Queries,Product Specific Information,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Outcall,Feedback,UnProfessional Behaviour,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Order Related,Delayed,Morning,On Job Training
Outcall,Cancellation,Return cancellation,Afternoon,0-30
Inbound,Cancellation,Not Needed,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Outcall,Returns,Return request,Evening,31-60
Outcall,Returns,Reverse Pickup Enquiry,Afternoon,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Morning,61-90
Inbound,Refund Related,Refund Related Issues,Morning,>90
Inbound,Refund Related,Refund Enquiry,Split,>90
Inbound,Order Related,Order status enquiry,Evening,>90
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Email,Refund Related,Refund Related Issues,Morning,0-30
Inbound,Order Related,Delayed,Morning,31-60
Inbound,Feedback,UnProfessional Behaviour,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Cancellation,Not Needed,Morning,31-60
Inbound,Order Related,Installation/demo,Morning,On Job Training
Outcall,Returns,Return request,Evening,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Outcall,Returns,Return request,Morning,31-60
Outcall,Order Related,Installation/demo,Evening,On Job Training
Inbound,Feedback,UnProfessional Behaviour,Evening,>90
Inbound,Order Related,Order status enquiry,Evening,31-60
Inbound,Order Related,Installation/demo,Evening,On Job Training
Inbound,Order Related,Installation/demo,Split,>90
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Refund Related,Refund Related Issues,Evening,On Job Training
Outcall,Returns,Return request,Split,>90
Inbound,Returns,Return request,Morning,31-60
Inbound,Order Related,Seller Cancelled Order,Evening,On Job Training
Email,Cancellation,Not Needed,Evening,61-90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Inbound,Order Related,Delayed,Evening,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Shopzilla Related,General Enquiry,Morning,On Job Training
Inbound,Returns,Fraudulent User,Night,31-60
Inbound,Returns,Return request,Evening,61-90
Inbound,Feedback,UnProfessional Behaviour,Morning,On Job Training
Inbound,Returns,Technician Visit,Evening,On Job Training
Inbound,Shopzilla Related,Signup Issues,Afternoon,>90
Inbound,Shopzilla Related,Signup Issues,Evening,61-90
Inbound,Refund Related,Refund Related Issues,Morning,31-60
Outcall,Order Related,Order status enquiry,Evening,0-30
Inbound,Returns,Service Centres Related,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Payments related,Online Payment Issues,Afternoon,>90
Inbound,Order Related,Installation/demo,Morning,>90
Inbound,Order Related,Delayed,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Delayed,Morning,>90
Inbound,Returns,Fraudulent User,Morning,0-30
Outcall,Order Related,Delayed,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Outcall,Returns,Exchange / Replacement,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Refund Related,Refund Related Issues,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Outcall,Returns,Return request,Morning,31-60
Inbound,Payments related,Online Payment Issues,Morning,On Job Training
Inbound,Returns,Return request,Morning,>90
Inbound,Shopzilla Related,General Enquiry,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Product Queries,Product Specific Information,Morning,>90
Inbound,Order Related,Seller Cancelled Order,Morning,0-30
Inbound,Order Related,Installation/demo,Morning,>90
Inbound,Order Related,Invoice request,Evening,On Job Training
Inbound,Shopzilla Related,General Enquiry,Night,31-60
Outcall,Product Queries,Product Specific Information,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Order Related,Delayed,Evening,On Job Training
Inbound,Refund Related,Refund Related Issues,Evening,>90
Inbound,Returns,Fraudulent User,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Payments related,PayLater related,Morning,On Job Training
Outcall,Returns,Fraudulent User,Morning,31-60
Inbound,Shopzilla Related,General Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Outcall,Returns,Service Centres Related,Morning,>90
Outcall,Refund Related,Refund Enquiry,Morning,>90
Inbound,Order Related,Seller Cancelled Order,Evening,On Job Training
Inbound,Order Related,Installation/demo,Evening,31-60
Outcall,Order Related,Delayed,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Outcall,Order Related,Delayed,Evening,31-60
Outcall,Returns,Wrong,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Refund Related,Refund Enquiry,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Return request,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Outcall,Returns,Return request,Afternoon,>90
Inbound,Order Related,Customer Requested Modifications,Morning,31-60
Inbound,Product Queries,Product Specific Information,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Afternoon,>90
Outcall,Order Related,Invoice request,Evening,On Job Training
Inbound,Returns,Return request,Evening,61-90
Email,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Shopzilla Related,Shopzila Premium Related,Night,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Returns,Missing,Morning,31-60
Inbound,Payments related,Online Payment Issues,Morning,On Job Training
Inbound,Returns,Fraudulent User,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Return request,Afternoon,>90
Inbound,Order Related,Delayed,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Damaged,Morning,0-30
Inbound,Returns,Exchange / Replacement,Evening,>90
Inbound,Order Related,Order status enquiry,Morning,>90
Inbound,Refund Related,Refund Enquiry,Evening,On Job Training
Inbound,Returns,Return request,Morning,>90
Inbound,Returns,Return request,Morning,>90
Inbound,Refund Related,Refund Related Issues,Evening,61-90
Inbound,Returns,Return request,Morning,>90
Inbound,Refund Related,Refund Related Issues,Evening,31-60
Inbound,Order Related,Delayed,Afternoon,>90
Email,Returns,Fraudulent User,Night,31-60
Inbound,Order Related,Delayed,Evening,0-30
Outcall,Refund Related,Refund Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Night,31-60
Inbound,Refund Related,Refund Related Issues,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Order Related,Priority delivery,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Returns,Service Centres Related,Evening,0-30
Inbound,Cancellation,Not Needed,Morning,>90
Inbound,Returns,Missing,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Email,Order Related,Delayed,Morning,31-60
Inbound,Payments related,Payment related Queries,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Return request,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Refund Related,Refund Related Issues,Morning,>90
Inbound,Refund Related,Refund Related Issues,Evening,>90
Inbound,Returns,Return request,Evening,31-60
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Returns,Return request,Afternoon,61-90
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Returns,Missing,Morning,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Product Queries,Life Insurance,Morning,>90
Inbound,Returns,Return request,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Email,Refund Related,Refund Related Issues,Morning,0-30
Inbound,Returns,Return request,Morning,>90
Inbound,Returns,Fraudulent User,Morning,0-30
Inbound,Returns,Service Centres Related,Evening,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Refund Related,Refund Related Issues,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Order Related,Priority delivery,Morning,On Job Training
Inbound,Returns,Self-Help,Morning,31-60
Inbound,Returns,Return request,Afternoon,>90
Inbound,Returns,Service Centres Related,Evening,On Job Training
Inbound,Offers & Cashback,Instant discount,Evening,31-60
Inbound,Order Related,Order status enquiry,Morning,>90
Inbound,Offers & Cashback,Other Cashback,Split,>90
Inbound,Order Related,Delayed,Morning,0-30
Outcall,Order Related,Order status enquiry,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Returns,Fraudulent User,Evening,61-90
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Order Related,Delayed,Afternoon,>90
Inbound,Order Related,Delayed,Afternoon,61-90
Inbound,Returns,Damaged,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Order Related,Customer Requested Modifications,Evening,On Job Training
Outcall,Order Related,Delayed,Afternoon,31-60
Inbound,Refund Related,Refund Related Issues,Morning,0-30
Outcall,Payments related,Online Payment Issues,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Service Centres Related,Evening,0-30
Outcall,Order Related,Order status enquiry,Afternoon,>90
Inbound,Returns,Service Centres Related,Evening,>90
Inbound,Payments related,Payment related Queries,Morning,On Job Training
Inbound,Order Related,Delayed,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Missing,Morning,0-30
Inbound,Order Related,Delayed,Morning,0-30
Inbound,Returns,Missing,Evening,On Job Training
Inbound,Refund Related,Refund Related Issues,Morning,>90
Outcall,Returns,Return request,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Email,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Order Related,Invoice request,Evening,0-30
Inbound,Order Related,Delayed,Evening,61-90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Inbound,Order Related,Delayed,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Payments related,Payment related Queries,Evening,On Job Training
Inbound,Product Queries,Product Specific Information,Morning,31-60
Inbound,Returns,Return request,Evening,>90
Inbound,Order Related,Delayed,Evening,31-60
Email,Refund Related,Refund Enquiry,Evening,0-30
Inbound,Order Related,Delayed,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Wrong,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Returns,Wrong,Afternoon,>90
Inbound,Returns,Return request,Morning,On Job Training
Inbound,Returns,Missing,Morning,On Job Training
Inbound,Feedback,UnProfessional Behaviour,Afternoon,31-60
Inbound,Returns,Reverse Pickup Enquiry,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Email,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Returns,Fraudulent User,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Feedback,UnProfessional Behaviour,Morning,On Job Training
Inbound,Order Related,General Enquiry,Morning,On Job Training
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Order Related,Order status enquiry,Morning,>90
Inbound,Returns,Return request,Evening,>90
Inbound,Offers & Cashback,Other Cashback,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Outcall,Order Related,Priority delivery,Morning,On Job Training
Inbound,Returns,Wrong,Afternoon,>90
Outcall,Order Related,Installation/demo,Afternoon,31-60
Inbound,Product Queries,Product Specific Information,Morning,On Job Training
Inbound,Returns,Missing,Evening,31-60
Inbound,Returns,Missing,Morning,>90
Inbound,Refund Related,Refund Related Issues,Evening,31-60
Outcall,Feedback,UnProfessional Behaviour,Morning,0-30
Inbound,Refund Related,Refund Related Issues,Split,>90
Inbound,Payments related,Payment related Queries,Morning,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Refund Related,Refund Enquiry,Evening,>90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Inbound,Returns,Fraudulent User,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Outcall,Order Related,Order status enquiry,Morning,On Job Training
Outcall,Order Related,Delayed,Evening,>90
Inbound,Order Related,Priority delivery,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Morning,>90
Inbound,Returns,Return request,Evening,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Email,Order Related,Delayed,Morning,31-60
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Order Related,Priority delivery,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Outcall,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Outcall,Product Queries,Product Specific Information,Evening,On Job Training
Inbound,Shopzilla Related,Unable to Login,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Refund Related,Refund Enquiry,Evening,>90
Inbound,Refund Related,Refund Related Issues,Afternoon,>90
Inbound,Returns,Missing,Evening,0-30
Inbound,Returns,Service Centres Related,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Service Centres Related,Morning,On Job Training
Inbound,Refund Related,Refund Related Issues,Night,>90
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Cancellation,Not Needed,Split,31-60
Inbound,Refund Related,Refund Related Issues,Evening,61-90
Inbound,Returns,Return request,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Returns,Return request,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Offers & Cashback,Instant discount,Morning,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Cancellation,Not Needed,Morning,On Job Training
Inbound,Order Related,Order status enquiry,Morning,31-60
Inbound,Returns,Fraudulent User,Split,>90
Inbound,Refund Related,Refund Enquiry,Night,31-60
Inbound,Order Related,Order status enquiry,Evening,>90
Inbound,Order Related,Customer Requested Modifications,Evening,0-30
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Product Queries,Product Specific Information,Evening,On Job Training
Outcall,Returns,Fraudulent User,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,0-30
Outcall,Product Queries,Product Specific Information,Evening,0-30
Inbound,Order Related,Delayed,Split,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Order Related,Seller Cancelled Order,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Outcall,Order Related,Order status enquiry,Morning,>90
Inbound,Feedback,UnProfessional Behaviour,Evening,>90
Inbound,Order Related,Order status enquiry,Evening,61-90
Inbound,Returns,Return request,Morning,>90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Email,Refund Related,Refund Enquiry,Evening,>90
Inbound,Returns,Return request,Morning,0-30
Inbound,Returns,Wrong,Evening,61-90
Inbound,Order Related,Installation/demo,Evening,0-30
Inbound,Product Queries,Product Specific Information,Morning,On Job Training
Inbound,Refund Related,Refund Related Issues,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Inbound,Refund Related,Refund Enquiry,Morning,On Job Training
Inbound,Feedback,UnProfessional Behaviour,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,31-60
Inbound,Order Related,Order status enquiry,Morning,31-60
Inbound,Returns,Wrong,Morning,>90
Inbound,Returns,Wrong,Evening,0-30
Inbound,Returns,Wrong,Split,>90
Inbound,Order Related,Delayed,Afternoon,>90
Inbound,Order Related,Invoice request,Evening,On Job Training
Inbound,Order Related,Installation/demo,Evening,31-60
Inbound,Product Queries,Product Specific Information,Morning,31-60
Inbound,Order Related,Delayed,Morning,>90
Inbound,Returns,Fraudulent User,Afternoon,61-90
Outcall,Returns,Return request,Morning,>90
Inbound,Returns,Return request,Evening,On Job Training
Inbound,Order Related,Invoice request,Morning,31-60
Inbound,Returns,Wrong,Morning,On Job Training
Inbound,Refund Related,Refund Related Issues,Evening,31-60
Inbound,Order Related,Delayed,Morning,>90
Outcall,Returns,Return request,Morning,On Job Training
Inbound,Shopzilla Related,Signup Issues,Morning,0-30
Inbound,Order Related,Installation/demo,Evening,On Job Training
Inbound,Returns,Service Centres Related,Morning,0-30
Email,Payments related,Payment pending,Morning,On Job Training
Inbound,Returns,Return request,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Outcall,Shopzilla Related,Account updation,Morning,0-30
Outcall,Returns,Return request,Afternoon,0-30
Outcall,Product Queries,Product Specific Information,Morning,0-30
Inbound,Cancellation,Not Needed,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Seller Cancelled Order,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Payments related,Billing Related,Morning,>90
Outcall,Refund Related,Refund Related Issues,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Missing,Evening,>90
Inbound,Order Related,Installation/demo,Morning,On Job Training
Inbound,Returns,Service Centres Related,Evening,61-90
Inbound,Returns,Reverse Pickup Enquiry,Morning,On Job Training
Inbound,Order Related,Invoice request,Morning,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Morning,>90
Outcall,Returns,Return request,Evening,31-60
Inbound,Returns,Reverse Pickup Enquiry,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Afternoon,>90
Inbound,Returns,Reverse Pickup Enquiry,Morning,31-60
Inbound,Order Related,Delayed,Morning,>90
Outcall,Returns,Missing,Morning,On Job Training
Inbound,Cancellation,Return cancellation,Evening,On Job Training
Inbound,Returns,Return request,Split,>90
Inbound,Returns,Fraudulent User,Morning,>90
Inbound,Order Related,Delayed,Evening,On Job Training
Inbound,Returns,Return request,Morning,31-60
Email,Refund Related,Refund Enquiry,Morning,>90
Outcall,Returns,Missing,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Outcall,Feedback,UnProfessional Behaviour,Morning,On Job Training
Inbound,Order Related,Delayed,Morning,0-30
Inbound,Returns,Reverse Pickup Enquiry,Evening,0-30
Outcall,Refund Related,Refund Related Issues,Afternoon,61-90
Inbound,Returns,Fraudulent User,Afternoon,>90
Inbound,Feedback,UnProfessional Behaviour,Night,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Order Related,Installation/demo,Morning,31-60
Outcall,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Returns,Return request,Evening,0-30
Inbound,Order Related,Installation/demo,Afternoon,>90
Outcall,Order Related,Seller Cancelled Order,Afternoon,>90
Inbound,Shopzilla Related,Shopzila Premium Related,Morning,0-30
Outcall,Order Related,Delayed,Morning,On Job Training
Inbound,Order Related,Installation/demo,Evening,On Job Training
Inbound,Returns,Return request,Evening,31-60
Inbound,Order Related,Order status enquiry,Morning,0-30
Inbound,Returns,Service Centres Related,Evening,>90
Inbound,Order Related,Order status enquiry,Morning,On Job Training
Inbound,Order Related,Priority delivery,Afternoon,61-90
Inbound,Returns,Wrong,Evening,31-60
Inbound,Returns,Service Centres Related,Morning,0-30
Outcall,Cancellation,Not Needed,Evening,31-60
Inbound,Refund Related,Refund Enquiry,Morning,>90
Inbound,Order Related,Delayed,Morning,0-30
Inbound,Order Related,Delayed,Morning,0-30
Inbound,Order Related,Order status enquiry,Morning,0-30
Inbound,Order Related,Seller Cancelled Order,Morning,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,>90
Outcall,Returns,Wrong,Evening,>90
Inbound,Refund Related,Refund Enquiry,Morning,0-30
Inbound,Returns,Return request,Morning,0-30
Inbound,Returns,Missing,Split,>90
Inbound,Order Related,Installation/demo,Morning,>90
Inbound,Returns,Reverse Pickup Enquiry,Evening,0-30
Inbound,Order Related,Order status enquiry,Evening,>90
Inbound,Shopzilla Related,General Enquiry,Split,>90
Inbound,Order Related,Delayed,Morning,0-30
Outcall,Returns,Fraudulent User,Afternoon,>90
Outcall,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Order Related,Delayed,Evening,On Job Training
Outcall,Returns,Reverse Pickup Enquiry,Morning,>90
Inbound,Returns,Service Centres Related,Morning,>90
Inbound,Refund Related,Refund Enquiry,Afternoon,31-60
Inbound,Order Related,Order status enquiry,Evening,On Job Training
Inbound,Refund Related,Refund Enquiry,Evening,>90
Inbound,Returns,Return request,Evening,>90
Inbound,Refund Related,Refund Related Issues,Morning,On Job Training
Inbound,Returns,Wrong,Morning,>90
Inbound,Returns,Return request,Afternoon,61-90
Inbound,Returns,Reverse Pickup Enquiry,Evening,On Job Training
Inbound,Returns,Reverse Pickup Enquiry,Evening,61-90
Inbound,Feedback,UnProfessional Behaviour,Morning,>90
Inbound,Shopzilla Related,General Enquiry,Morning,>90
Inbound,Order Related,Order status enquiry,Split,>90
Outcall,Returns,Return request,Morning,On Job Training
Inbound,Returns,Return request,Evening,>90
Inbound,Returns,Fraudulent User,Evening,>90
